Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
griegesperanza,1782,8235.098710167,20,3,2620,2024-11-24T09:00:00.0
northsea,4600,8235.098710167,20,3,2411,2024-11-24T09:00:00.0
svalbardeidembukta,1744,8235.098710167,20,3,2350,2024-11-24T09:00:00.0
barentssea3,4305,8235.098710167,20,3,2430,2024-11-24T09:00:00.0
vanmijenfjorden,350,8235.098710167,20,3,2340,2024-11-24T09:00:00.0
trondheimnorth,2017,8235.098710167,20,3,2709,2024-11-24T09:00:00.0
northaustralia1,824,8235.098710167,20,3,2390,2024-11-24T09:00:00.0
palgrunden,84,8235.098710167,20,3,2160,2024-11-24T09:00:00.0
barentssea4,1457,8235.098710167,20,3,2440,2024-11-24T09:00:00.0
englishatlantic,6522,8235.098710167,20,3,2432,2024-11-24T09:00:00.0
grieghammerfest,4585,8235.098710167,20,3,2480,2024-11-24T09:00:00.0
bouvet,6714,8235.098710167,20,3,2200,2024-11-24T09:00:00.0
northaustralia2,2962,8235.098710167,20,3,2380,2024-11-24T09:00:00.0
falklandsatlantic,736,8235.098710167,20,3,2421,2024-11-24T09:00:00.0
frohavet,6246,8235.098710167,20,3,2700,2024-11-24T09:00:00.0
janmayen,4867,8235.098710167,20,3,2180,2024-11-24T09:00:00.0
checleset,1786,8235.098710167,20,3,2520,2024-11-24T09:00:00.0
buvika,4593,8235.098710167,20,3,2710,2024-11-24T09:00:00.0
frohavetsouth,360,8235.098710167,20,3,2630,2024-11-24T09:00:00.0
barentssea1,4581,8235.098710167,20,3,2460,2024-11-24T09:00:00.0
griegnordkapp,1738,8235.098710167,20,3,2470,2024-11-24T09:00:00.0
caspiansea2,8272,8235.098710167,20,3,2400,2024-11-24T09:00:00.0
svalbardnyaalesund,629,8235.098710167,20,3,2360,2024-11-24T09:00:00.0

ingdalen,358,9758.8537035,20,4,2690,2024-11-24T09:00:00.0
peteriisland,1030,9758.8537035,20,4,2210,2024-11-24T09:00:00.0
vancouver,6013,9758.8537035,20,4,2570,2024-11-24T09:00:00.0
atlantic1,2846,9758.8537035,20,4,2414,2024-11-24T09:00:00.0
vardoe,5968,9758.8537035,20,4,2250,2024-11-24T09:00:00.0
moby,2087,9758.8537035,20,4,2170,2024-11-24T09:00:00.0
griegclio,1781,9758.8537035,20,4,2610,2024-11-24T09:00:00.0
griegloppa,74,9758.8537035,20,4,2490,2024-11-24T09:00:00.0
barentssea2,1462,9758.8537035,20,4,2450,2024-11-24T09:00:00.0
frohavetnorth,4589,9758.8537035,20,4,2650,2024-11-24T09:00:00.0
barentssea5,5688,9758.8537035,20,4,2435,2024-11-24T09:00:00.0
caspiansea1,5947,9758.8537035,20,4,2410,2024-11-24T09:00:00.0
mjosa,6242,9758.8537035,20,4,2510,2024-11-24T09:00:00.0
lakeanoya,79,9758.8537035,20,4,2670,2024-11-24T09:00:00.0
igalikufjorden,5158,9758.8537035,20,4,2365,2024-11-24T09:00:00.0
griegesperanza,3695,9758.8537035,20,4,2620,2024-11-24T09:00:00.0
northsea,4600,9758.8537035,20,4,2411,2024-11-24T09:00:00.0
svalbardeidembukta,1744,9758.8537035,20,4,2350,2024-11-24T09:00:00.0
barentssea3,4303,9758.8537035,20,4,2430,2024-11-24T09:00:00.0
vanmijenfjorden,5974,9758.8537035,20,4,2340,2024-11-24T09:00:00.0
trondheimnorth,6247,9758.8537035,20,4,2709,2024-11-24T09:00:00.0
northaustralia1,824,9758.8537035,20,4,2390,2024-11-24T09:00:00.0
palgrunden,84,9758.8537035,20,4,2160,2024-11-24T09:00:00.0
barentssea4,1457,9758.8537035,20,4,2440,2024-11-24T09:00:00.0
englishatlantic,363,9758.8537035,20,4,2432,2024-11-24T09:00:00.0
grieghammerfest,4584,9758.8537035,20,4,2480,2024-11-24T09:00:00.0
bouvet,6714,9758.8537035,20,4,2200,2024-11-24T09:00:00.0
northaustralia2,2962,9758.8537035,20,4,2380,2024-11-24T09:00:00.0
falklandsatlantic,736,9758.8537035,20,4,2421,2024-11-24T09:00:00.0
frohavet,2016,9758.8537035,20,4,2700,2024-11-24T09:00:00.0
janmayen,4867,9758.8537035,20,4,2180,2024-11-24T09:00:00.0
checleset,1786,9758.8537035,20,4,2520,2024-11-24T09:00:00.0
buvika,2011,9758.8537035,20,4,2710,2024-11-24T09:00:00.0
frohavetsouth,4594,9758.8537035,20,4,2630,2024-11-24T09:00:00.0
barentssea1,350,9758.8537035,20,4,2460,2024-11-24T09:00:00.0
griegnordkapp,1738,9758.8537035,20,4,2470,2024-11-24T09:00:00.0
caspiansea2,8272,9758.8537035,20,4,2400,2024-11-24T09:00:00.0
erie,1224,9758.8537035,20,4,2140,2024-11-24T09:00:00.0
